AIRLINE,ARRIVAL_DELAY
Spirit Air Lines,14.471799501705833
Frontier Airlines Inc.,12.504706404706404
JetBlue Airways,6.677860800940307
Atlantic Southeast Airlines,6.585378691739733
American Eagle Airlines Inc.,6.457873460764516
Skywest Airlines Inc.,5.845652151300072
United Air Lines Inc.,5.431593935741549
Virgin America,4.737705721003135
Southwest Airlines Co.,4.3749636792570525
US Airways Inc.,3.7062088424131026
American Airlines Inc.,3.4513721447256764
Hawaiian Airlines Inc.,2.023092805197196
Delta Air Lines Inc.,0.18675361236390797
Alaska Airlines Inc.,-0.9765630924118783
